ID,Age,Gender,Name,Birth,Race,Home City,Home State,Amount Spent,Estimated Income,Destination
35,77,Male,Customer 35,1964-08-21,Black,Austin,Texas,6955.08,126694.25,Hawaii
36,19,Male,Customer 36,1952-11-21,Black,San Antonio,Texas,2257.15,128698.9,Hawaii
37,75,Male,Customer 37,1975-01-13,Black,Denver,Colorado,5688.42,88728.61,Alaska
38,74,Female,Customer 38,1955-05-05,Asian,New Orleans,Louisiana,5229.99,54763.42,Asia
39,65,Male,Customer 39,1985-11-24,Hispanic,Phoenix,Arizona,1534.99,110130.85,Alaska
40,25,Male,Customer 40,1989-08-20,White,New Orleans,Louisiana,6597.36,55026.31,Alaska
41,68,Female,Customer 41,2003-07-01,White,San Francisco,California,9038.45,101105.45,Alaska
42,24,Male,Customer 42,1989-10-10,Hispanic,Dallas,Texas,7648.8,100551.62,South America
43,72,Female,Customer 43,1994-05-02,White,Los Angeles,California,9873.05,46358.14,Hawaii
44,39,Female,Customer 44,1966-11-06,Other,Atlanta,Georgia,5719.38,90846.4,Asia
45,33,Female,Customer 45,1963-05-24,Other,Chicago,Illinois,5530.92,68887.31,Asia
46,75,Male,Customer 46,1983-12-23,Black,New Orleans,Louisiana,1381.51,94442.33,Middle East & Africa
47,23,Female,Customer 47,1979-09-22,Asian,New Orleans,Louisiana,2302.32,103670.48,Alaska
48,26,Female,Customer 48,1953-01-12,Other,Houston,Texas,8033.56,98244.25,Hawaii
49,73,Female,Customer 49,1961-11-17,White,Los Angeles,California,9079.65,104458.55,Asia
50,80,Male,Customer 50,1952-10-15,Hispanic,New Orleans,Louisiana,5551.17,104604.56,Alaska
51,31,Female,Customer 51,1954-11-10,White,Portland,Oregon,8685.22,110550.31,Asia
52,64,Female,Customer 52,1951-02-07,Hispanic,New York,New York,3110.93,103838.61,South America
53,28,Male,Customer 53,1959-10-11,White,Atlanta,Georgia,4664.97,77148.41,Europe
54,49,Female,Customer 54,1973-02-13,White,Seattle,Washington,8310.45,60308.61,Middle East & Africa
55,47,Female,Customer 55,1987-08-09,Asian,Seattle,Washington,4310.25,94610.86,Hawaii
56,21,Male,Customer 56,1993-12-06,Other,Miami,Florida,4252.38,124271.22,South America
57,63,Female,Customer 57,1965-02-18,Black,San Antonio,Texas,7618.66,135904.46,Middle East & Africa
58,41,Female,Customer 58,1984-02-28,Asian,Atlanta,Georgia,4158.07,129702.78,South America
59,60,Male,Customer 59,1997-03-22,White,Chicago,Illinois,5090.44,106256.4,Middle East & Africa
60,52,Male,Customer 60,1952-11-13,Black,New Orleans,Louisiana,8424.15,110909.26,Europe
61,58,Male,Customer 61,1988-04-18,Hispanic,Boston,Massachusetts,1260.03,63757.49,Hawaii
62,21,Female,Customer 62,1963-10-21,Hispanic,Dallas,Texas,7725.87,118219.21,Middle East & Africa
63,47,Female,Customer 63,1983-11-18,Hispanic,Los Angeles,California,5032.46,107592.14,Hawaii
64,29,Female,Customer 64,1985-11-27,Asian,Boston,Massachusetts,5866.49,97688.78,South America
65,64,Female,Customer 65,1951-02-19,White,Miami,Florida,5764.68,77600.36,Asia
66,19,Female,Customer 66,1957-02-05,White,Chicago,Illinois,8502.63,70042.65,Asia
67,70,Male,Customer 67,1971-07-18,Black,Nashville,Tennessee,8762.91,85057.84,Asia
68,54,Male,Customer 68,2000-07-07,Other,Las Vegas,Nevada,8574.2,109988.84,Hawaii
69,63,Female,Customer 69,1969-07-04,Hispanic,San Diego,California,1945.49,122850.84,Asia
70,25,Female,Customer 70,1996-12-13,Hispanic,San Francisco,California,3386.51,132322.4,South America
71,19,Female,Customer 71,1979-09-15,Other,Los Angeles,California,2984.83,136026.59,Asia
72,23,Female,Customer 72,1969-07-24,White,Phoenix,Arizona,9588.29,94603.96,Asia
73,22,Male,Customer 73,1960-01-23,Black,Atlanta,Georgia,4887.26,124362.1,South America
74,79,Male,Customer 74,1981-05-19,Hispanic,Nashville,Tennessee,6785.49,54216.39,Alaska
75,30,Female,Customer 75,1997-03-25,Hispanic,San Antonio,Texas,8166.43,125108.45,Europe
76,53,Female,Customer 76,1989-06-14,White,San Diego,California,4368.22,110435.67,Hawaii
77,54,Female,Customer 77,1977-06-06,Hispanic,Dallas,Texas,4276.43,83594.84,Hawaii
78,31,Female,Customer 78,1978-09-04,Hispanic,Phoenix,Arizona,2823.71,78340.98,Asia
79,46,Male,Customer 79,1964-09-16,Asian,Houston,Texas,2296.96,81860.26,Middle East & Africa
80,52,Male,Customer 80,2005-01-18,Asian,Portland,Oregon,1298.69,120218.54,Alaska
81,24,Male,Customer 81,1977-10-26,Black,Nashville,Tennessee,2137.22,37613.78,Alaska
82,51,Female,Customer 82,1976-11-21,White,San Diego,California,6087.16,36672.75,Middle East & Africa
83,51,Female,Customer 83,1962-12-22,Asian,New York,New York,4007.27,87463.08,Hawaii
84,29,Male,Customer 84,1954-04-15,Asian,New York,New York,6360.57,138956.1,Europe
85,19,Female,Customer 85,1994-06-21,Black,Boston,Massachusetts,1494.84,26907.5,Asia
86,54,Male,Customer 86,1979-03-20,Asian,San Francisco,California,7577.33,36723.18,Hawaii
87,26,Female,Customer 87,1966-11-16,Hispanic,Los Angeles,California,5321.51,52868.07,Middle East & Africa
88,71,Female,Customer 88,1966-03-23,Black,Miami,Florida,5874.43,20618.54,Europe
89,39,Female,Customer 89,1965-09-25,Other,Seattle,Washington,6655.58,100437.0,Asia
90,74,Male,Customer 90,1964-07-27,Hispanic,New York,New York,2569.03,63200.83,Asia
91,69,Female,Customer 91,1951-11-10,White,Austin,Texas,8818.25,76535.18,Asia
92,62,Female,Customer 92,1970-12-27,Asian,San Antonio,Texas,8305.28,36788.9,Middle East & Africa
93,42,Male,Customer 93,1965-05-16,Other,Portland,Oregon,3627.57,43531.44,South America
94,68,Female,Customer 94,1983-12-16,Hispanic,Boston,Massachusetts,5121.53,56332.56,Alaska
95,70,Female,Customer 95,1980-10-06,Asian,Austin,Texas,1990.37,143750.65,South America
96,20,Male,Customer 96,2001-04-10,Asian,Austin,Texas,8094.73,46953.67,Middle East & Africa
97,56,Male,Customer 97,1989-10-01,Black,New York,New York,5882.28,49182.65,Alaska
98,47,Male,Customer 98,1987-12-09,Asian,Portland,Oregon,8756.25,34672.69,Alaska
99,23,Male,Customer 99,1957-07-28,Black,Phoenix,Arizona,9492.98,72921.19,South America
100,42,Female,Customer 100,1991-01-15,White,Las Vegas,Nevada,4357.09,94625.78,Alaska
101,44,Female,Customer 101,1951-03-10,Other,San Diego,California,6030.56,105803.08,Asia
102,61,Female,Customer 102,1953-07-28,Hispanic,San Francisco,California,7698.01,45790.54,Middle East & Africa
103,61,Male,Customer 103,1993-03-15,Hispanic,San Antonio,Texas,7579.54,101774.66,South America
104,63,Female,Customer 104,1996-11-22,Asian,San Francisco,California,5266.42,26256.53,Europe
105,33,Male,Customer 105,1999-05-03,Hispanic,New York,New York,9704.09,128191.37,Middle East & Africa
106,68,Male,Customer 106,1953-03-20,Hispanic,Boston,Massachusetts,4590.81,93102.03,Middle East & Africa
107,64,Female,Customer 107,1958-02-05,White,San Francisco,California,5776.01,106842.67,South America
108,25,Male,Customer 108,1977-05-13,Asian,New York,New York,1987.48,85033.17,Europe
109,79,Female,Customer 109,1952-08-27,Hispanic,Houston,Texas,3900.72,67749.74,South America
110,60,Male,Customer 110,1991-12-23,Other,Boston,Massachusetts,1536.74,88344.47,Hawaii
111,47,Male,Customer 111,2002-10-05,Hispanic,San Diego,California,2824.42,36199.03,Alaska
112,65,Male,Customer 112,1956-06-07,Other,New Orleans,Louisiana,8270.84,51062.37,South America
113,47,Male,Customer 113,2005-01-06,Other,Houston,Texas,3166.05,137333.91,Middle East & Africa
114,45,Female,Customer 114,2004-08-22,Hispanic,Las Vegas,Nevada,5160.38,22008.73,Europe
115,44,Female,Customer 115,1984-02-05,Black,Atlanta,Georgia,3927.01,127135.07,South America
116,43,Female,Customer 116,1954-08-09,Hispanic,Dallas,Texas,7880.0,73140.2,Alaska
117,76,Female,Customer 117,1965-06-08,Hispanic,Miami,Florida,2978.47,81192.59,Alaska
118,50,Male,Customer 118,1967-12-17,Other,New Orleans,Louisiana,8803.92,25141.22,Middle East & Africa
119,61,Female,Customer 119,1962-07-26,Asian,Seattle,Washington,9891.38,101018.56,Europe
120,28,Male,Customer 120,2002-02-18,Asian,Atlanta,Georgia,3500.32,47669.26,Europe
121,73,Female,Customer 121,1983-04-20,Other,San Francisco,California,4530.41,132226.24,Alaska
122,58,Female,Customer 122,1989-08-06,White,Phoenix,Arizona,3432.81,32266.69,South America
123,35,Male,Customer 123,1972-03-27,White,Portland,Oregon,5632.69,147355.26,South America
124,74,Female,Customer 124,1976-04-07,White,Phoenix,Arizona,1750.55,48918.61,Asia
125,64,Female,Customer 125,2004-01-18,White,Houston,Texas,6890.97,131045.49,Alaska
126,55,Male,Customer 126,1965-10-20,Black,Boston,Massachusetts,8410.03,89241.43,Alaska
127,60,Male,Customer 127,1979-06-01,Other,Los Angeles,California,7728.59,91422.34,South America
128,62,Male,Customer 128,2002-11-24,Other,Las Vegas,Nevada,3423.12,29596.09,South America
129,28,Male,Customer 129,2001-03-14,Asian,Nashville,Tennessee,3875.99,74959.78,South America
130,71,Male,Customer 130,1995-06-11,White,Chicago,Illinois,6275.23,35508.27,Middle East & Africa
131,47,Female,Customer 131,1962-03-13,White,San Francisco,California,6660.29,131674.02,Europe
132,26,Female,Customer 132,1965-08-22,Black,Austin,Texas,1783.05,52492.14,South America
133,52,Male,Customer 133,1981-01-17,White,Denver,Colorado,4539.22,148254.74,Hawaii
134,46,Female,Customer 134,1981-06-20,Other,Dallas,Texas,1771.9,74401.1,Europe
135,21,Male,Customer 135,1975-07-01,Asian,New Orleans,Louisiana,9923.56,121500.64,Asia
136,26,Female,Customer 136,1993-09-15,White,San Antonio,Texas,7075.21,116536.85,Asia
137,41,Male,Customer 137,1972-09-09,Black,San Diego,California,8850.05,143864.4,Alaska
138,72,Female,Customer 138,1992-10-16,Asian,Philadelphia,Pennsylvania,2035.09,142156.6,Alaska
139,48,Male,Customer 139,1989-04-05,Asian,Denver,Colorado,3050.0,37412.43,Europe
140,58,Male,Customer 140,2005-12-13,Other,San Antonio,Texas,5981.63,79762.3,Asia
141,64,Male,Customer 141,1985-03-25,Hispanic,Portland,Oregon,1780.97,133529.99,Asia
142,31,Female,Customer 142,1987-04-28,Asian,Los Angeles,California,8487.61,67353.75,Asia
143,34,Female,Customer 143,1994-06-24,Asian,Chicago,Illinois,1707.93,109665.45,Alaska
144,50,Male,Customer 144,1974-11-03,Hispanic,Dallas,Texas,1240.91,70308.91,Asia
145,66,Female,Customer 145,1961-08-24,Hispanic,Chicago,Illinois,7948.14,23619.48,South America
146,35,Female,Customer 146,1962-06-05,Other,Portland,Oregon,9938.66,116130.95,Asia
147,46,Female,Customer 147,1963-03-22,White,Boston,Massachusetts,2457.35,72556.14,Hawaii
148,60,Female,Customer 148,2002-05-23,Black,New Orleans,Louisiana,5457.27,100015.86,Alaska
149,26,Male,Customer 149,1978-08-14,Asian,Austin,Texas,7184.67,99560.03,Alaska
150,48,Male,Customer 150,1993-12-21,Other,Chicago,Illinois,1137.81,37666.46,Alaska
151,22,Female,Customer 151,1967-09-13,White,San Antonio,Texas,4362.56,52989.24,Asia
152,39,Male,Customer 152,1963-02-12,Hispanic,Las Vegas,Nevada,6383.28,134650.59,Hawaii
153,64,Male,Customer 153,1973-10-14,Black,Philadelphia,Pennsylvania,4633.44,30134.87,Hawaii
154,75,Male,Customer 154,1989-09-13,Other,San Francisco,California,8218.05,39210.49,Asia
155,41,Female,Customer 155,1987-05-11,White,Seattle,Washington,4495.41,64026.9,Middle East & Africa
156,57,Male,Customer 156,1985-06-06,Other,San Antonio,Texas,1593.91,64948.26,Europe
157,79,Female,Customer 157,2002-03-19,Black,Portland,Oregon,2767.88,117293.2,Middle East & Africa
158,18,Male,Customer 158,1981-01-02,Black,Dallas,Texas,5905.05,69955.04,Hawaii
159,75,Male,Customer 159,1984-12-25,White,Austin,Texas,2590.31,49739.83,Middle East & Africa
160,53,Female,Customer 160,1962-01-22,Other,Seattle,Washington,8228.21,104488.39,Middle East & Africa
161,49,Male,Customer 161,1999-01-07,Other,Boston,Massachusetts,4133.27,49026.72,Alaska
162,18,Male,Customer 162,1974-05-05,Black,San Antonio,Texas,7141.93,107377.64,Europe
163,18,Female,Customer 163,1950-09-21,Hispanic,Philadelphia,Pennsylvania,8227.03,124760.27,Hawaii
164,32,Male,Customer 164,1956-01-25,Black,Dallas,Texas,4896.11,48206.22,Asia
165,22,Female,Customer 165,2003-02-06,Other,Chicago,Illinois,1485.42,120417.23,Alaska
166,41,Male,Customer 166,1978-09-17,Other,New Orleans,Louisiana,3707.52,42395.72,Asia
167,35,Male,Customer 167,1966-10-08,Black,Houston,Texas,8065.05,87250.77,Hawaii
168,72,Male,Customer 168,1962-11-14,Black,New York,New York,7547.34,58102.96,Middle East & Africa
169,78,Female,Customer 169,1951-03-12,Other,Las Vegas,Nevada,8541.18,41176.82,Asia
170,73,Female,Customer 170,1959-07-07,Hispanic,San Antonio,Texas,6046.75,72402.39,Hawaii
171,19,Male,Customer 171,1958-01-01,White,San Antonio,Texas,2048.87,69399.4,Europe
172,23,Male,Customer 172,1977-07-28,White,Atlanta,Georgia,3758.7,147767.09,South America
173,39,Male,Customer 173,1957-09-11,White,Denver,Colorado,8245.95,111382.1,Asia
174,75,Male,Customer 174,1952-09-05,Asian,New York,New York,9803.07,67188.65,Middle East & Africa
175,42,Female,Customer 175,1994-11-06,White,Denver,Colorado,3967.75,67500.95,Europe
176,41,Female,Customer 176,1997-03-08,Black,Chicago,Illinois,3927.11,57981.65,Hawaii
177,28,Female,Customer 177,1976-01-07,Other,Seattle,Washington,7408.47,25116.06,Middle East & Africa
178,72,Female,Customer 178,1991-04-21,Other,Boston,Massachusetts,3811.27,89036.13,South America
179,56,Female,Customer 179,1976-08-20,Hispanic,Philadelphia,Pennsylvania,9393.31,138564.69,Asia
180,44,Female,Customer 180,1971-10-28,Black,Las Vegas,Nevada,3864.86,121051.79,Alaska
181,54,Female,Customer 181,1959-10-27,Black,Nashville,Tennessee,2981.4,126171.73,Asia
182,57,Male,Customer 182,1956-02-21,Hispanic,Miami,Florida,2303.56,117753.68,Europe
183,21,Male,Customer 183,1985-01-23,Black,Nashville,Tennessee,7768.91,31435.8,South America
184,53,Female,Customer 184,2001-02-12,White,Chicago,Illinois,4104.06,110487.8,Middle East & Africa
185,23,Female,Customer 185,1987-01-28,Hispanic,Dallas,Texas,8113.79,60167.42,Hawaii
186,61,Male,Customer 186,2001-03-22,Hispanic,Atlanta,Georgia,7830.11,49358.01,Europe
187,58,Male,Customer 187,1967-03-21,Asian,Chicago,Illinois,6278.98,111575.73,Asia
188,51,Female,Customer 188,1998-07-03,Asian,Los Angeles,California,4598.5,46260.46,Asia
189,61,Female,Customer 189,1999-02-01,Other,New Orleans,Louisiana,5406.71,73361.48,Asia
190,39,Female,Customer 190,1969-03-16,Asian,Houston,Texas,4285.57,90338.54,South America
191,41,Male,Customer 191,1951-07-16,White,Portland,Oregon,1314.06,130357.17,South America
192,35,Male,Customer 192,1979-02-28,Other,San Diego,California,7736.5,43228.97,South America
193,55,Female,Customer 193,1952-08-02,Asian,Dallas,Texas,4805.27,50952.49,Asia
194,47,Female,Customer 194,1999-06-24,White,Las Vegas,Nevada,5426.94,138866.85,Middle East & Africa
195,68,Female,Customer 195,1979-01-21,Asian,Nashville,Tennessee,9148.87,92261.49,Middle East & Africa
196,34,Female,Customer 196,1982-09-27,Other,Boston,Massachusetts,8089.38,55512.1,Asia
197,70,Male,Customer 197,1997-03-19,Other,Portland,Oregon,1957.02,145021.63,Europe
198,36,Female,Customer 198,1970-12-18,Asian,Houston,Texas,6154.51,124679.45,Europe
199,36,Male,Customer 199,1959-12-28,Asian,Los Angeles,California,2480.41,30858.96,South America
200,42,Female,Customer 200,2001-11-24,Black,New Orleans,Louisiana,2813.43,125047.03,Middle East & Africa
201,33,Female,Customer 201,1969-01-11,Black,San Francisco,California,3058.86,59122.74,Asia
202,46,Male,Customer 202,1963-04-27,Hispanic,New Orleans,Louisiana,8167.27,90753.32,Asia
203,55,Female,Customer 203,1971-05-02,Hispanic,Austin,Texas,1998.69,61353.61,Europe
204,19,Female,Customer 204,1970-10-19,Hispanic,San Diego,California,4839.64,59518.19,Middle East & Africa
205,42,Female,Customer 205,1963-08-27,White,Los Angeles,California,1113.69,54807.19,Hawaii
206,42,Male,Customer 206,1977-11-10,Hispanic,Atlanta,Georgia,5856.58,63317.05,Alaska
207,56,Male,Customer 207,1971-05-09,Asian,Seattle,Washington,4315.1,90083.73,Hawaii
208,62,Female,Customer 208,1984-08-25,Hispanic,Atlanta,Georgia,5354.31,87850.6,Middle East & Africa
209,43,Male,Customer 209,1977-12-13,Black,San Diego,California,5624.38,121464.15,South America
210,56,Female,Customer 210,2002-07-27,White,Denver,Colorado,6967.7,143457.39,Hawaii
211,69,Male,Customer 211,1977-11-07,Hispanic,Phoenix,Arizona,3226.04,116984.38,Asia
212,45,Female,Customer 212,1979-10-25,Black,Las Vegas,Nevada,8876.25,37456.13,Alaska
213,67,Male,Customer 213,1987-02-28,Asian,Phoenix,Arizona,2013.53,99249.25,Alaska
214,29,Female,Customer 214,1960-01-14,Other,Philadelphia,Pennsylvania,7817.16,120298.04,South America
215,30,Female,Customer 215,1972-03-14,White,Boston,Massachusetts,7694.0,43997.98,South America
216,61,Male,Customer 216,1967-12-22,Other,Atlanta,Georgia,6748.7,134630.9,South America
217,22,Male,Customer 217,1963-02-12,White,Houston,Texas,7141.83,64733.22,Asia
218,66,Male,Customer 218,1971-05-21,Hispanic,Austin,Texas,8147.05,131938.45,Middle East & Africa
219,38,Male,Customer 219,1976-09-07,Other,Chicago,Illinois,9233.82,133378.58,South America
220,39,Female,Customer 220,1985-09-23,Other,Los Angeles,California,5612.4,81510.24,Europe
221,64,Female,Customer 221,1976-05-18,Black,Chicago,Illinois,8529.21,149172.12,Hawaii
222,39,Male,Customer 222,1961-02-15,Asian,Austin,Texas,7247.57,56835.35,Middle East & Africa
223,24,Male,Customer 223,1981-04-10,Other,Chicago,Illinois,8521.39,92281.52,South America
224,24,Female,Customer 224,1950-04-18,Asian,San Antonio,Texas,1827.6,125633.25,Alaska
225,19,Female,Customer 225,1990-03-14,White,Boston,Massachusetts,4818.19,45616.67,Middle East & Africa
226,74,Female,Customer 226,1995-04-18,Black,Phoenix,Arizona,1793.66,47609.33,Asia
227,76,Female,Customer 227,2002-03-05,White,New York,New York,5978.85,52068.61,South America
228,49,Female,Customer 228,1955-01-15,Asian,Denver,Colorado,5559.54,89708.27,Alaska
229,73,Female,Customer 229,1976-04-02,Hispanic,San Diego,California,3856.54,99167.79,Middle East & Africa
230,58,Female,Customer 230,1968-12-09,White,Miami,Florida,1823.57,34386.28,Middle East & Africa
231,19,Male,Customer 231,1970-02-09,White,Nashville,Tennessee,4552.65,77002.9,Hawaii
232,26,Male,Customer 232,1964-05-12,White,New Orleans,Louisiana,3921.87,59499.39,Asia
233,56,Female,Customer 233,1958-05-04,Asian,Houston,Texas,6274.72,27720.43,Alaska
234,20,Male,Customer 234,1964-08-27,Black,Miami,Florida,1532.2,91677.03,Asia
235,78,Female,Customer 235,2001-05-04,Other,Dallas,Texas,2496.38,65850.18,Alaska
236,76,Male,Customer 236,1964-09-09,Asian,Nashville,Tennessee,7434.51,78381.99,South America
237,32,Male,Customer 237,1978-04-24,Asian,San Antonio,Texas,5363.94,123178.88,Europe
238,41,Female,Customer 238,1990-02-01,Hispanic,Atlanta,Georgia,5985.51,20459.08,South America
239,31,Female,Customer 239,1992-06-23,Other,Boston,Massachusetts,2093.53,111143.97,Europe
240,25,Male,Customer 240,1985-04-28,White,Austin,Texas,1665.24,58074.08,Alaska
241,71,Male,Customer 241,1977-10-09,Other,San Diego,California,7316.94,105761.94,Asia
242,70,Female,Customer 242,1958-09-03,Asian,Philadelphia,Pennsylvania,1800.97,148982.12,Alaska
243,72,Female,Customer 243,1957-05-11,Black,Austin,Texas,5906.33,37338.65,Alaska
244,45,Female,Customer 244,1967-11-15,Black,San Francisco,California,7309.68,30812.73,Hawaii
245,63,Female,Customer 245,1984-08-09,Asian,Boston,Massachusetts,3717.62,149404.25,Middle East & Africa
246,76,Female,Customer 246,2005-08-27,Black,San Antonio,Texas,9587.98,132007.11,Asia
247,59,Male,Customer 247,2005-07-23,Other,San Diego,California,8168.03,136772.31,Europe
248,59,Male,Customer 248,1978-04-01,White,Houston,Texas,7181.57,58356.54,Alaska
249,42,Male,Customer 249,1975-02-14,Hispanic,Los Angeles,California,9702.75,87112.01,Alaska
250,27,Male,Customer 250,2001-03-22,White,Houston,Texas,3838.14,61429.4,Asia
251,48,Female,Customer 251,1978-02-08,Hispanic,Atlanta,Georgia,6633.64,80637.88,Asia
252,65,Male,Customer 252,1973-06-11,Asian,New York,New York,7422.05,40673.64,Alaska
253,25,Female,Customer 253,1976-12-25,Asian,Philadelphia,Pennsylvania,5193.71,119682.91,Europe
254,51,Female,Customer 254,1962-11-22,Black,Los Angeles,California,1607.46,41834.88,Middle East & Africa
255,51,Male,Customer 255,1973-10-24,Other,New York,New York,4478.28,43936.78,South America
256,47,Male,Customer 256,1969-09-03,White,San Francisco,California,1564.04,80332.98,Hawaii
257,57,Female,Customer 257,1961-07-20,Asian,Las Vegas,Nevada,6979.27,28465.79,South America
258,79,Male,Customer 258,1958-09-02,Asian,Denver,Colorado,7367.03,67922.1,Alaska
259,27,Male,Customer 259,1963-12-26,White,Las Vegas,Nevada,1008.38,107524.75,Hawaii
260,38,Male,Customer 260,1960-07-15,Asian,Portland,Oregon,6300.51,30114.2,South America
261,54,Male,Customer 261,1962-05-25,Other,New Orleans,Louisiana,4309.58,92498.48,Hawaii
262,60,Female,Customer 262,1961-09-05,Black,San Francisco,California,5412.17,79910.86,Alaska
263,80,Male,Customer 263,1991-05-09,White,Seattle,Washington,5487.72,32500.31,Middle East & Africa
264,73,Female,Customer 264,2004-06-03,White,San Diego,California,4308.53,115189.83,Middle East & Africa
265,22,Male,Customer 265,1961-03-24,Black,Austin,Texas,4422.51,36942.01,Alaska
266,80,Male,Customer 266,1951-02-07,Hispanic,Nashville,Tennessee,1135.99,76187.57,Asia
267,51,Male,Customer 267,1953-12-09,Other,Miami,Florida,3739.25,44735.36,Asia
268,28,Female,Customer 268,1964-09-05,Other,Chicago,Illinois,9552.59,80652.65,South America
269,62,Male,Customer 269,1963-10-01,White,Dallas,Texas,6707.1,113701.82,Europe
270,22,Female,Customer 270,2001-08-19,Other,Atlanta,Georgia,1881.46,28072.83,Middle East & Africa
271,50,Male,Customer 271,1980-10-22,Hispanic,San Diego,California,8863.03,73000.06,Europe
272,33,Female,Customer 272,1968-06-24,White,Houston,Texas,3368.02,88360.59,South America
273,40,Female,Customer 273,1997-12-13,Black,San Diego,California,5338.47,50463.72,Europe
274,75,Female,Customer 274,2000-04-21,Other,New Orleans,Louisiana,3841.74,137084.33,Alaska
275,53,Male,Customer 275,1980-09-04,Other,San Antonio,Texas,3853.83,75004.87,Middle East & Africa
276,53,Female,Customer 276,1980-04-06,Asian,Atlanta,Georgia,9203.87,62310.32,Europe
277,59,Male,Customer 277,1994-02-03,White,Boston,Massachusetts,7520.48,111646.61,Asia
278,61,Female,Customer 278,1955-09-23,Black,Atlanta,Georgia,6217.95,141221.05,Europe
279,80,Male,Customer 279,2004-03-28,White,Houston,Texas,3433.1,93499.49,Hawaii
280,68,Male,Customer 280,1971-02-02,Other,Miami,Florida,8133.27,81917.78,Europe
281,70,Female,Customer 281,1964-06-09,Hispanic,Phoenix,Arizona,2365.84,41893.29,Hawaii
282,55,Female,Customer 282,2005-06-23,Other,New Orleans,Louisiana,8919.15,132093.75,Asia
283,50,Male,Customer 283,1983-01-06,White,Chicago,Illinois,4045.91,104967.94,Alaska
284,28,Male,Customer 284,1980-11-23,White,New Orleans,Louisiana,1481.93,79426.92,Middle East & Africa
285,52,Female,Customer 285,1978-09-03,Black,Boston,Massachusetts,4680.48,127392.94,South America
286,45,Male,Customer 286,2004-06-21,Hispanic,Portland,Oregon,1833.93,22496.69,South America
287,42,Male,Customer 287,1957-09-11,Hispanic,Chicago,Illinois,6134.85,31252.55,Asia
288,73,Female,Customer 288,1965-02-24,Asian,San Antonio,Texas,4228.32,52656.07,Hawaii
